"R_fighter","B_fighter","R_odds","B_odds","R_ev","B_ev","date","location","country","Winner","title_bout","weight_class","gender","no_of_rounds","B_current_lose_streak","B_current_win_streak","B_draw","B_avg_SIG_STR_landed","B_avg_SIG_STR_pct","B_avg_SUB_ATT","B_avg_TD_landed","B_avg_TD_pct","B_longest_win_streak","B_losses","B_total_rounds_fought","B_total_title_bouts","B_win_by_Decision_Majority","B_win_by_Decision_Split","B_win_by_Decision_Unanimous","B_win_by_KO/TKO","B_win_by_Submission","B_win_by_TKO_Doctor_Stoppage","B_wins","B_Stance","B_Height_cms","B_Reach_cms","B_Weight_lbs","R_current_lose_streak","R_current_win_streak","R_draw","R_avg_SIG_STR_landed","R_avg_SIG_STR_pct","R_avg_SUB_ATT","R_avg_TD_landed","R_avg_TD_pct","R_longest_win_streak","R_losses","R_total_rounds_fought","R_total_title_bouts","R_win_by_Decision_Majority","R_win_by_Decision_Split","R_win_by_Decision_Unanimous","R_win_by_KO/TKO","R_win_by_Submission","R_win_by_TKO_Doctor_Stoppage","R_wins","R_Stance","R_Height_cms","R_Reach_cms","R_Weight_lbs","R_age","B_age","lose_streak_dif","win_streak_dif","longest_win_streak_dif","win_dif","loss_dif","total_round_dif","total_title_bout_dif","ko_dif","sub_dif","height_dif","reach_dif","age_dif","sig_str_dif","avg_sub_att_dif","avg_td_dif","empty_arena","B_match_weightclass_rank","R_match_weightclass_rank","better_rank","finish","finish_details","finish_round","finish_round_time","total_fight_time_secs","R_kd_bout","B_kd_bout","R_sig_str_landed_bout","B_sig_str_landed_bout","R_sig_str_attempted_bout","B_sig_str_attempted_bout","R_sig_str_pct_bout","B_sig_str_pct_bout","R_tot_str_landed_bout","B_tot_str_landed_bout","R_tot_str_attempted_bout","B_tot_str_attempted_bout","R_td_landed_bout","B_td_landed_bout","R_td_attempted_bout","B_td_attempted_bout","R_td_pct_bout","B_td_pct_bout","R_sub_attempts_bout","B_sub_attempts_bout","R_pass_bout","B_pass_bout","R_rev_bout","B_rev_bout","isWeekend","days","month","year","class","rank"
"Gillian Robertson","Poliana Botelho",-215,169,46.51162791,169,2020-10-17,"Abu Dhabi, Abu Dhabi, United Arab Emirates","United Arab Emirates","1",FALSE,"Women's Flyweight","FEMALE",3,0,1,0,3.65,0.58,0,1.27,1,2,1,8,0,0,0,2,1,0,0,3,"Orthodox",172.72,170.18,115,0,1,0,1.96,0.48,1.2,3.33,0.52,2,2,12,0,0,0,0,1,4,0,5,"Orthodox",165.1,160.02,125,25,31,0,0,0,-2,-1,-4,0,0,-4,7.62,10.16,6,1.69,-1.2,-2.06,1,NA,"15","Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Oct","2020","R_Women's Flyweight_rank","15"
"Roxanne Modafferi","Andrea Lee",240,-335,240,29.85074627,2020-09-12,"Las Vegas, Nevada, USA","USA","1",FALSE,"Women's Flyweight","FEMALE",3,2,0,0,5.4,0.48,0.6,1.4,0.38,3,2,15,0,0,0,3,0,0,0,3,"Orthodox",167.64,175.26,125,1,0,0,3.04,0.3,0.1,1.29,0.21,1,7,29,2,0,1,1,1,0,0,3,"Orthodox",170.18,175.26,125,37,31,1,0,2,0,-5,-14,-2,-1,0,-2.54,0,-6,2.36,0.5,0.11,1,"9","8","Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Sep","2020","R_Women's Flyweight_rank","8"
"Ji Yeon Kim","Alexa Grasso",230,-315,230,31.74603175,2020-08-29,"Las Vegas, Nevada, USA","USA","0",FALSE,"Women's Flyweight","FEMALE",3,1,0,0,5.25,0.41,0.6,0.19,0.33,1,3,16,0,0,1,2,0,0,0,3,"Orthodox",165.1,167.64,115,0,1,0,4.49,0.33,0,0,0,2,2,14,0,0,2,0,1,0,0,3,"Orthodox",170.18,182.88,125,30,27,1,-1,-1,0,1,2,0,-1,0,-5.08,-15.24,-3,0.76,0.6,0.19,1,"14","15","Blue","U-DEC",NA,3,05:00:00,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Aug","2020","R_Women's Flyweight_rank","15"
"Joanne Calderwood","Jennifer Maia",-162,130,61.72839506,130,2020-08-01,"Las Vegas, Nevada, USA","USA","0",FALSE,"Women's Flyweight","FEMALE",3,1,0,0,4.05,0.38,0,0.25,0.5,2,2,12,0,0,0,2,0,0,0,2,"Orthodox",162.56,162.56,125,0,1,0,6.19,0.47,0.5,1.85,0.56,2,4,24,0,0,1,3,1,1,0,6,"Orthodox",167.64,165.1,125,34,31,1,-1,0,-4,-2,-12,0,-1,-1,-5.08,-2.54,-3,-2.14,-0.5,-1.6,1,"6","3","Red","SUB","Armbar",1,04:29:00,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Aug","2020","R_Women's Flyweight_rank","3"
"Molly McCann","Taila Santos",-152,120,80,100,2020-07-15,"Abu Dhabi, Abu Dhabi, United Arab Emirates","United Arab Emirates","0",FALSE,"Women's Flyweight","FEMALE",3,1,0,0,4.23,0.49,1,1,1,0,1,3,0,0,0,0,0,0,0,0,"Orthodox",165.1,172.72,125,0,3,0,6.49,0.49,0.9,2.59,0.33,3,1,11,0,0,0,3,0,0,0,3,"Orthodox",162.56,157.48,125,30,27,1,-3,-3,-3,0,-8,0,0,0,2.54,15.24,-3,-2.26,0.1,-1.59,1,NA,"15","Red","U-DEC",NA,3,05:00:00,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Wednesday","Jul","2020","R_Women's Flyweight_rank","15"
"Roxanne Modafferi","Lauren Murphy",-125,105,80,105,2020-06-20,"Las Vegas, Nevada, USA","USA","0",FALSE,"Women's Flyweight","FEMALE",3,0,2,0,3.76,0.38,0,1.03,0.32,2,4,24,0,0,2,0,2,0,0,4,"Orthodox",165.1,170.18,125,0,1,0,3.06,0.31,0.1,1.45,0.21,1,6,26,2,0,1,1,1,0,0,3,"Orthodox",170.18,175.26,125,37,36,0,1,1,1,-2,-2,-2,1,0,-5.08,-5.08,-1,0.7,-0.1,-0.42,1,"7","6","Red","U-DEC",NA,3,05:00:00,900,0,0,44,72,174,158,0.25,0.45,71,92,206,178,0,2,1,3,0,0.66,0,0,0,1,1,0,TRUE,"Saturday","Jun","2020","R_Women's Flyweight_rank","6"
"Jessica Eye","Cynthia Calvillo",120,-130,120,76.92307692,2020-06-13,"Las Vegas, Nevada, USA","USA","0",FALSE,"Women's Flyweight","FEMALE",5,0,2,1,4.12,0.43,1.6,1.83,0.43,3,1,12,0,0,0,2,0,3,0,5,"Orthodox",162.56,162.56,115,0,1,0,3.79,0.38,0.7,0.46,0.45,3,6,8,1,0,2,2,1,0,0,5,"Orthodox",167.64,167.64,125,33,32,0,1,0,0,-5,4,-1,-1,3,-5.08,-5.08,-1,0.33,0.9,1.37,1,NA,"1","Red","U-DEC",NA,5,05:00:00,1500,0,0,70,113,280,237,0.25,0.47,70,150,283,294,0,4,0,7,0,0.57,0,0,0,8,0,0,TRUE,"Saturday","Jun","2020","R_Women's Flyweight_rank","1"
"Katlyn Chookagian","Antonina Shevchenko",110,-130,110,76.92307692,2020-05-30,"Las Vegas, Nevada, USA","USA","1",FALSE,"Women's Flyweight","FEMALE",3,0,1,0,4.9,0.57,1,0.67,1,1,1,8,0,0,0,1,0,1,0,2,"Southpaw",172.72,170.18,125,1,0,0,4.11,0.32,0.1,0,0,3,3,27,1,0,1,5,0,0,0,6,"Orthodox",175.26,172.72,125,31,35,-1,1,-2,-4,-2,-19,-1,0,1,-2.54,-2.54,4,0.79,0.9,0.67,1,"12","2","Red","U-DEC",NA,3,05:00:00,900,0,0,73,25,108,64,0.67,0.39,200,37,240,76,3,0,3,0,1,0,4,0,3,0,0,0,TRUE,"Saturday","May","2020","R_Women's Flyweight_rank","2"
"Andrea Lee","Montana De La Rosa",-185,160,54.05405405,160,2019-06-22,"Greenville, South Carolina, USA","USA","1",FALSE,"Women's Flyweight","FEMALE",3,0,3,0,2.3,0.33,1.9,2.22,0.33,3,0,6,0,0,0,0,0,3,0,3,"Orthodox",170.18,172.72,125,0,2,0,5.4,0.48,0.6,1.4,0.38,2,0,6,0,0,0,2,0,0,0,2,"Orthodox",167.64,175.26,125,30,24,0,1,1,1,0,0,0,0,3,2.54,-2.54,6,-3.1,1.3,0.82,0,"11","10","Red","U-DEC",NA,3,05:00:00,900,0,0,73,14,126,107,0.57,0.13,82,40,135,136,1,5,3,12,0.33,0.41,0,1,2,0,0,0,TRUE,"Saturday","Jun","2019","R_Women's Flyweight_rank","10"
"Montana De La Rosa","Mara Romero Borella",-175,155,57.14285714,155,2020-02-15,"Rio Rancho, New Mexico, USA","USA","1",FALSE,"Women's Flyweight","FEMALE",3,1,0,0,2.98,0.35,0.3,1.68,0.41,0,1,10,0,0,1,0,0,1,0,2,"Orthodox",167.64,175.26,125,1,0,0,2.49,0.31,2.3,2.69,0.33,3,1,9,0,0,0,0,0,3,0,3,"Orthodox",170.18,172.72,125,25,33,0,0,-3,-1,0,1,0,0,-2,-2.54,2.54,-8,0.49,-2,-1.01,0,"13","12","Red","U-DEC",NA,3,05:00:00,900,1,0,27,23,67,53,0.4,0.43,74,64,128,99,1,1,3,2,0.33,0.5,1,0,6,0,0,0,TRUE,"Saturday","Feb","2020","R_Women's Flyweight_rank","12"
