"R_fighter","B_fighter","R_odds","B_odds","R_ev","B_ev","date","location","country","Winner","title_bout","weight_class","gender","no_of_rounds","B_current_lose_streak","B_current_win_streak","B_draw","B_avg_SIG_STR_landed","B_avg_SIG_STR_pct","B_avg_SUB_ATT","B_avg_TD_landed","B_avg_TD_pct","B_longest_win_streak","B_losses","B_total_rounds_fought","B_total_title_bouts","B_win_by_Decision_Majority","B_win_by_Decision_Split","B_win_by_Decision_Unanimous","B_win_by_KO/TKO","B_win_by_Submission","B_win_by_TKO_Doctor_Stoppage","B_wins","B_Stance","B_Height_cms","B_Reach_cms","B_Weight_lbs","R_current_lose_streak","R_current_win_streak","R_draw","R_avg_SIG_STR_landed","R_avg_SIG_STR_pct","R_avg_SUB_ATT","R_avg_TD_landed","R_avg_TD_pct","R_longest_win_streak","R_losses","R_total_rounds_fought","R_total_title_bouts","R_win_by_Decision_Majority","R_win_by_Decision_Split","R_win_by_Decision_Unanimous","R_win_by_KO/TKO","R_win_by_Submission","R_win_by_TKO_Doctor_Stoppage","R_wins","R_Stance","R_Height_cms","R_Reach_cms","R_Weight_lbs","R_age","B_age","lose_streak_dif","win_streak_dif","longest_win_streak_dif","win_dif","loss_dif","total_round_dif","total_title_bout_dif","ko_dif","sub_dif","height_dif","reach_dif","age_dif","sig_str_dif","avg_sub_att_dif","avg_td_dif","empty_arena","B_match_weightclass_rank","R_match_weightclass_rank","better_rank","finish","finish_details","finish_round","finish_round_time","total_fight_time_secs","R_kd_bout","B_kd_bout","R_sig_str_landed_bout","B_sig_str_landed_bout","R_sig_str_attempted_bout","B_sig_str_attempted_bout","R_sig_str_pct_bout","B_sig_str_pct_bout","R_tot_str_landed_bout","B_tot_str_landed_bout","R_tot_str_attempted_bout","B_tot_str_attempted_bout","R_td_landed_bout","B_td_landed_bout","R_td_attempted_bout","B_td_attempted_bout","R_td_pct_bout","B_td_pct_bout","R_sub_attempts_bout","B_sub_attempts_bout","R_pass_bout","B_pass_bout","R_rev_bout","B_rev_bout","isWeekend","days","month","year","class","rank"
"Sara McMann","Gina Mazany",-800,550,12.5,550,2017-02-19,"Halifax, Nova Scotia, Canada","Canada","1",FALSE,"Women's Bantamweight","FEMALE",3,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,"Southpaw",167.64,172.72,135,0,2,0,18.71428571,0.464285714,0.285714286,1.714285714,0.492857143,2,3,14,1,0,1,1,1,1,0,4,"Orthodox",167.64,167.64,135,36,28,0,-2,-2,-4,3,-14,-1,-1,-1,0,5.08,8,-18.71428571,-0.285714286,-1.714285714,0,NA,"7","Red","SUB","Arm Triangle",1,01:14:00,74,0,0,7,0,14,2,0.5,0,7,0,14,2,2,0,2,0,1,0,1,0,2,0,0,0,TRUE,"Sunday","Feb","2017","R_Women's Bantamweight_rank","7"
"Holly Holm","Germaine de Randamie",100,-130,100,76.92307692,2017-02-11,"Brooklyn, New York, USA","USA","0",TRUE,"Women's Featherweight","FEMALE",5,0,2,0,24.5,0.43,0,0,0,2,1,7,0,0,1,0,2,0,0,3,"Orthodox",175.26,180.34,135,2,0,0,52,0.386,0,0.4,0.4,3,2,18,2,0,1,1,1,0,0,3,"Southpaw",172.72,175.26,145,35,32,2,2,-1,0,1,-11,-2,1,0,2.54,5.08,3,-27.5,0,-0.4,0,NA,NA,"neither","U-DEC",NA,5,05:00:00,1500,0,0,77,80,182,150,0.42,0.53,122,144,235,223,0,0,9,1,0,0,0,0,0,0,0,0,TRUE,"Saturday","Feb","2017","R_Women's Bantamweight_rank","2"
"Valentina Shevchenko","Julianna Pena",-185,160,54.05405405,160,2017-01-28,"Denver, Colorado, USA","USA","1",FALSE,"Women's Bantamweight","FEMALE",5,0,4,0,29,0.5,1,2,0.79,4,0,8,1,0,0,2,2,0,0,4,"Orthodox",167.64,175.26,135,0,1,0,49,0.533333333,0,2.666666667,0.62,1,1,11,0,0,1,1,0,0,0,2,"Southpaw",165.1,167.64,125,28,27,0,3,3,2,1,-3,1,2,0,2.54,7.62,1,-20,1,-0.666666667,0,"2","1","Red","SUB","Armbar",2,04:29:00,569,0,0,13,27,17,35,0.76,0.77,46,78,51,99,2,1,2,5,1,0.2,1,0,2,0,0,0,TRUE,"Saturday","Jan","2017","R_Women's Bantamweight_rank","1"
"Amanda Nunes","Ronda Rousey",165,-190,165,52.63157895,2016-12-30,"Las Vegas, Nevada, USA","USA","1",TRUE,"Women's Bantamweight","FEMALE",5,1,0,0,15.85714286,0.492857143,0.714285714,1.142857143,0.392857143,6,1,10,7,0,0,0,3,3,0,6,"Orthodox",170.18,172.72,135,0,4,0,23.85714286,0.59,0.571428571,0.857142857,0.26,4,1,11,1,0,0,1,3,2,0,6,"Orthodox",172.72,175.26,145,28,29,-1,-4,2,0,0,-1,6,0,1,-2.54,-2.54,-1,-8,0.142857143,0.285714286,0,"1","0","Red","KO/TKO","Punches",1,00:48:00,48,0,0,27,7,47,14,0.57,0.5,27,7,47,14,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,"Friday","Dec","2016","R_Women's Bantamweight_rank","0"
"Sara McMann","Alexis Davis",-155,135,64.51612903,135,2016-12-03,"Las Vegas, Nevada, USA","USA","1",FALSE,"Women's Bantamweight","FEMALE",3,0,1,0,36.6,0.404,0.8,0.8,0.398,3,1,12,1,0,1,2,0,1,0,4,"Orthodox",167.64,172.72,125,0,1,0,19.5,0.478333333,0.166666667,1.666666667,0.408333333,1,3,12,1,0,1,1,1,0,0,3,"Orthodox",167.64,167.64,135,36,32,0,0,2,1,2,0,0,-1,1,0,5.08,4,17.1,0.633333333,-0.866666667,0,NA,"7","Red","SUB","Arm Triangle",2,02:52:00,472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Dec","2016","R_Women's Bantamweight_rank","7"
"Marion Reneau","Milana Dudieva",-225,185,44.44444444,185,2016-11-19,"Belfast, Northern Ireland, United Kingdom","United Kingdom","1",FALSE,"Women's Bantamweight","FEMALE",3,1,0,0,5.5,0.15,0,1.5,0.45,1,1,4,0,0,1,0,0,0,0,1,"Orthodox",160.02,154.94,135,2,0,0,42.5,0.365,0.5,0.25,0.25,2,2,10,0,0,0,1,0,1,0,2,"Orthodox",167.64,172.72,135,39,27,1,0,-1,-1,1,-6,0,0,-1,-7.62,-17.78,12,-37,-0.5,1.25,0,NA,"15","Red","KO/TKO","Elbows",3,03:03:00,783,0,0,48,17,136,47,0.35,0.36,72,36,170,68,1,2,1,4,1,0.5,1,0,1,1,0,0,TRUE,"Saturday","Nov","2016","R_Women's Bantamweight_rank","15"
"Miesha Tate","Raquel Pennington",-140,120,71.42857143,120,2016-11-12,"New York City, New York, USA","USA","0",FALSE,"Women's Bantamweight","FEMALE",3,0,3,0,50.85714286,0.528571429,0.857142857,1.285714286,0.537142857,3,2,18,0,0,1,2,0,2,0,5,"Orthodox",170.18,170.18,135,1,0,0,31.625,0.42375,1.375,1.125,0.20125,5,3,24,3,1,0,3,0,1,0,5,"Orthodox",167.64,165.1,135,30,28,1,3,-2,0,1,-6,-3,0,1,2.54,5.08,2,19.23214286,-0.517857143,0.160714286,0,"8","1","Red","U-DEC",NA,3,05:00:00,900,0,0,21,43,65,77,0.32,0.55,48,111,93,156,1,1,5,1,0.2,1,0,3,0,1,0,0,TRUE,"Saturday","Nov","2016","R_Women's Bantamweight_rank","1"
"Liz Carmouche","Katlyn Chookagian",145,-165,145,60.60606061,2016-11-12,"New York City, New York, USA","USA","1",FALSE,"Women's Bantamweight","FEMALE",3,0,1,0,45,0.32,0,0,0,1,0,3,0,0,0,1,0,0,0,1,"Orthodox",175.26,172.72,125,0,1,0,30.6,0.57,0.4,2.2,0.592,1,3,12,1,0,0,1,1,0,0,2,"Orthodox",167.64,167.64,125,32,27,0,0,0,-1,3,-9,-1,-1,0,7.62,5.08,5,14.4,-0.4,-2.2,0,"14","9","Red","S-DEC",NA,3,05:00:00,900,0,1,27,22,64,115,0.42,0.19,49,64,88,160,4,0,7,0,0.57,0,0,0,1,0,0,0,TRUE,"Saturday","Nov","2016","R_Women's Bantamweight_rank","9"
"Jessica Eye","Bethe Correia",-125,105,80,105,2016-09-10,"Cleveland, Ohio, USA","USA","0",FALSE,"Women's Bantamweight","FEMALE",3,2,0,0,59.8,0.542,0,0.2,0.05,3,2,12,1,0,1,1,1,0,0,3,"Orthodox",165.1,162.56,135,3,0,0,48,0.418333333,0.166666667,0.166666667,0.166666667,1,5,17,0,0,0,0,0,0,1,1,"Orthodox",167.64,167.64,125,30,33,1,0,2,2,3,-5,1,0,0,-2.54,-5.08,-3,11.8,-0.166666667,0.033333333,0,"11","10","Red","S-DEC",NA,3,05:00:00,900,0,0,52,49,199,150,0.26,0.32,63,69,210,170,0,0,0,3,0,0,0,0,0,0,0,0,TRUE,"Saturday","Sep","2016","R_Women's Bantamweight_rank","10"
"Ashlee Evans-Smith","Veronica Macedo",-240,200,41.66666667,200,2016-09-03,"Hamburg, Hamburg, Germany","Germany","1",FALSE,"Women's Bantamweight","FEMALE",3,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,"Southpaw",162.56,162.56,125,0,1,0,33,0.465,0,1,0.5,1,1,4,0,0,1,0,0,0,0,1,"Orthodox",172.72,170.18,125,29,20,0,-1,-1,-1,1,-4,0,0,0,-10.16,-7.62,9,-33,0,-1,0,NA,"13","Red","KO/TKO","Elbows",3,02:46:00,766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Sep","2016","R_Women's Bantamweight_rank","13"
"Raquel Pennington","Elizabeth Phillips",-320,260,31.25,260,2016-08-20,"Las Vegas, Nevada, USA","USA","1",FALSE,"Women's Bantamweight","FEMALE",3,0,1,0,47,0.393333333,0.333333333,0.666666667,0.166666667,1,2,9,0,0,0,1,0,0,0,1,"Orthodox",167.64,165.1,135,0,2,0,53.83333333,0.506666667,0.833333333,1,0.526666667,2,2,15,0,0,1,1,0,2,0,4,"Orthodox",170.18,170.18,135,27,30,0,-1,-1,-3,0,-6,0,0,-2,-2.54,-5.08,-3,-6.83333333,-0.5,-0.333333333,0,NA,"8","Red","U-DEC",NA,3,05:00:00,900,0,0,33,15,50,34,0.66,0.44,81,34,102,58,3,1,5,5,0.6,0.2,1,0,2,2,0,1,TRUE,"Saturday","Aug","2016","R_Women's Bantamweight_rank","8"
"Holly Holm","Valentina Shevchenko",-190,165,52.63157895,165,2016-07-23,"Chicago, Illinois, USA","USA","0",FALSE,"Women's Bantamweight","FEMALE",5,1,0,0,30,0.565,0,2.5,0.72,1,1,6,0,0,1,0,0,0,0,1,"Southpaw",165.1,167.64,125,1,0,0,51.5,0.42,0,0.5,0.5,3,1,13,2,0,1,1,1,0,0,3,"Southpaw",172.72,175.26,145,34,28,0,0,-2,-2,0,-7,-2,-1,0,-7.62,-7.62,6,-21.5,0,2,0,"7","2","Red","U-DEC",NA,5,05:00:00,1500,0,0,54,87,211,185,0.25,0.47,73,119,231,217,0,3,0,7,0,0.42,0,0,0,1,0,0,TRUE,"Saturday","Jul","2016","R_Women's Bantamweight_rank","2"
"Lauren Murphy","Katlyn Chookagian",-170,150,58.82352941,150,2016-07-13,"Sioux Falls, South Dakota, USA","USA","0",FALSE,"Women's Bantamweight","FEMALE",3,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,"Orthodox",175.26,172.72,125,0,1,0,63,0.523333333,0,1,0.183333333,1,2,9,0,0,0,0,1,0,0,1,"Orthodox",170.18,170.18,125,32,27,0,-1,-1,-1,2,-9,0,-1,0,5.08,2.54,5,-63,0,-1,0,NA,"13","Red","U-DEC",NA,3,05:00:00,900,0,0,38,45,143,139,0.26,0.32,87,67,200,162,1,0,4,1,0.25,0,0,0,0,0,0,0,FALSE,"Wednesday","Jul","2016","R_Women's Bantamweight_rank","13"
"Miesha Tate","Amanda Nunes",265,-325,265,30.76923077,2016-07-09,"Las Vegas, Nevada, USA","USA","0",TRUE,"Women's Bantamweight","FEMALE",5,0,3,0,21.16666667,0.583333333,0.5,1,0.303333333,3,1,10,0,0,0,1,3,1,0,5,"Orthodox",172.72,175.26,145,0,5,0,35.71428571,0.455714286,1.571428571,1.285714286,0.23,5,2,23,2,1,0,3,0,1,0,5,"Orthodox",167.64,165.1,135,29,28,0,-2,-2,0,1,-13,-2,3,0,5.08,10.16,1,-14.54761904,-1.071428571,-0.285714286,0,"4","0","Red","SUB","Rear Naked Choke",1,03:16:00,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Jul","2016","R_Women's Bantamweight_rank","0"
"Cat Zingano","Julianna Pena",-175,155,57.14285714,155,2016-07-09,"Las Vegas, Nevada, USA","USA","0",FALSE,"Women's Bantamweight","FEMALE",3,0,3,0,34.66666667,0.476666667,1,2,0.833333333,3,0,5,1,0,0,1,2,0,0,3,"Orthodox",167.64,175.26,135,1,0,0,25,0.496666667,1.333333333,1.333333333,0.666666667,2,1,7,1,0,0,0,2,0,0,2,"Southpaw",167.64,172.72,145,34,26,1,3,1,1,1,-2,0,0,0,0,2.54,8,9.66666667,-0.333333333,0.666666667,0,"5","3","Red","U-DEC",NA,3,05:00:00,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Jul","2016","R_Women's Bantamweight_rank","3"
"Sara McMann","Jessica Eye",-125,105,80,105,2016-05-29,"Las Vegas, Nevada, USA","USA","1",FALSE,"Women's Bantamweight","FEMALE",3,2,0,0,55.6,0.42,0.2,0.2,0.2,1,4,14,0,0,0,0,0,0,1,1,"Orthodox",167.64,167.64,125,2,0,0,19,0.488,0,1.6,0.41,1,3,9,1,0,1,0,1,0,0,2,"Orthodox",167.64,167.64,135,35,29,0,0,0,-1,-1,5,-1,0,0,0,0,6,36.6,0.2,-1.4,0,"7","6","Red","U-DEC",NA,3,05:00:00,900,0,0,22,10,51,24,0.43,0.41,56,19,88,34,2,0,5,0,0.4,0,1,0,2,0,0,0,TRUE,"Sunday","May","2016","R_Women's Bantamweight_rank","6"
"Germaine de Randamie","Anna Elmose",-400,325,25,325,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands","Netherlands","1",FALSE,"Women's Bantamweight","FEMALE",3,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,"Orthodox",160.02,165.1,115,0,1,0,26.66666667,0.366666667,0,0,0,1,1,6,0,0,1,0,1,0,0,2,"Orthodox",175.26,180.34,135,32,31,0,-1,-1,-2,1,-6,0,-1,0,-15.24,-15.24,1,-26.66666667,0,0,0,NA,"14","Red","KO/TKO","Knee",1,03:46:00,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Sunday","May","2016","R_Women's Bantamweight_rank","14"
"Bethe Correia","Raquel Pennington",180,-220,180,45.45454545,2016-04-16,"Tampa, Florida, USA","USA","0",FALSE,"Women's Bantamweight","FEMALE",3,0,1,0,49.6,0.494,1,1.2,0.632,1,2,12,0,0,0,1,0,2,0,3,"Orthodox",170.18,170.18,135,1,0,0,58.25,0.5825,0,0.25,0.0625,3,1,9,1,0,1,1,1,0,0,3,"Orthodox",165.1,162.56,135,32,27,1,1,-2,0,-1,3,-1,-1,2,5.08,7.62,5,-8.65,1,0.95,0,"11","8","Red","S-DEC",NA,3,05:00:00,900,0,0,66,75,171,130,0.38,0.57,99,84,209,139,0,0,1,4,0,0,0,0,0,0,0,0,TRUE,"Saturday","Apr","2016","R_Women's Bantamweight_rank","8"
"Holly Holm","Miesha Tate",-300,250,33.33333333,250,2016-03-05,"Las Vegas, Nevada, USA","USA","0",TRUE,"Women's Bantamweight","FEMALE",5,0,4,0,35,0.468333333,1.5,1.166666667,0.231666667,4,2,18,1,1,0,3,0,0,0,4,"Orthodox",167.64,165.1,135,0,3,0,49,0.423333333,0,0.666666667,0.666666667,3,0,8,1,0,1,1,1,0,0,3,"Southpaw",172.72,175.26,145,34,29,0,1,1,1,-2,10,0,-1,0,-5.08,-10.16,5,-14,1.5,0.5,0,"2","0","Red","SUB","Rear Naked Choke",5,03:30:00,1410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Mar","2016","R_Women's Bantamweight_rank","0"
"Amanda Nunes","Valentina Shevchenko",-105,-115,95.23809524,86.95652174,2016-03-05,"Las Vegas, Nevada, USA","USA","1",FALSE,"Women's Bantamweight","FEMALE",3,0,1,0,32,0.72,0,4,0.44,1,0,3,0,0,1,0,0,0,0,1,"Southpaw",165.1,167.64,125,0,2,0,17.6,0.604,0.2,0.8,0.298,2,1,7,0,0,0,0,3,1,0,4,"Orthodox",172.72,175.26,145,27,27,0,-1,-1,-3,1,-4,0,-3,-1,-7.62,-7.62,0,14.4,-0.2,3.2,0,"10","4","Red","U-DEC",NA,3,05:00:00,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Mar","2016","R_Women's Bantamweight_rank","4"
"Marion Reneau","Ashlee Evans-Smith",-190,165,52.63157895,165,2016-02-21,"Pittsburgh, Pennsylvania, USA","USA","0",FALSE,"Women's Bantamweight","FEMALE",3,1,0,0,11,0.68,0,1,0.5,0,1,1,0,0,0,0,0,0,0,0,"Orthodox",172.72,170.18,125,1,0,0,39,0.363333333,0.333333333,0,0,2,1,7,0,0,0,1,0,1,0,2,"Orthodox",167.64,172.72,135,38,28,0,0,-2,-2,0,-6,0,0,-1,5.08,-2.54,10,-28,-0.333333333,1,0,NA,"12","Red","S-DEC",NA,3,05:00:00,900,0,0,53,55,140,213,0.37,0.25,55,57,142,216,1,1,1,2,1,0.5,1,0,0,0,0,0,TRUE,"Sunday","Feb","2016","R_Women's Bantamweight_rank","12"
"Sarah Kaufman","Valentina Shevchenko",-115,-105,86.95652174,95.23809524,2015-12-19,"Orlando, Florida, USA","USA","0",FALSE,"Women's Bantamweight","FEMALE",3,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,"Southpaw",165.1,167.64,125,1,0,0,118,0.48,0,0.333333333,0.333333333,1,2,8,0,0,0,1,0,0,0,1,"Orthodox",165.1,170.18,135,30,27,1,0,-1,-1,2,-8,0,0,0,0,-2.54,3,-118,0,-0.333333333,0,NA,"5","Red","S-DEC",NA,3,05:00:00,900,0,0,27,32,44,44,0.61,0.72,142,66,172,78,1,4,4,9,0.25,0.44,0,0,2,1,0,0,TRUE,"Saturday","Dec","2015","R_Women's Bantamweight_rank","5"
"Ronda Rousey","Holly Holm",-750,525,13.33333333,525,2015-11-14,"Melbourne, Victoria, Australia","Australia","0",TRUE,"Women's Bantamweight","FEMALE",5,0,2,0,54.5,0.28,0,0.5,0.5,2,0,6,0,0,1,1,0,0,0,2,"Southpaw",172.72,175.26,145,0,6,0,15.66666667,0.531666667,0.833333333,1.333333333,0.458333333,6,0,8,6,0,0,0,3,3,0,6,"Orthodox",170.18,172.72,135,28,34,0,-4,-4,-4,0,-2,-6,-3,-3,2.54,2.54,-6,38.83333333,-0.833333333,-0.833333333,0,"7","0","Red","KO/TKO","Kick",2,00:59:00,359,0,1,17,38,65,53,0.26,0.71,21,38,69,53,0,1,1,1,0,1,0,0,0,0,0,0,TRUE,"Saturday","Nov","2015","R_Women's Bantamweight_rank","0"
"Jessica Eye","Julianna Pena",220,-260,220,38.46153846,2015-10-03,"Houston, Texas, USA","USA","0",FALSE,"Women's Bantamweight","FEMALE",3,0,2,0,35,0.465,0,1.5,1,2,0,2,1,0,0,0,2,0,0,2,"Orthodox",167.64,175.26,135,1,0,0,62,0.3875,0,0,0,1,3,11,0,0,0,0,0,0,1,1,"Orthodox",167.64,167.64,125,29,26,1,2,1,1,3,-9,1,1,0,0,7.62,3,-27,0,1.5,0,"12","6","Red","U-DEC",NA,3,05:00:00,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Oct","2015","R_Women's Bantamweight_rank","6"
"Jessica Andrade","Raquel Pennington",-170,150,58.82352941,150,2015-09-05,"Las Vegas, Nevada, USA","USA","0",FALSE,"Women's Bantamweight","FEMALE",3,1,0,0,51.75,0.4675,1,1,0.54,1,2,10,0,0,0,1,0,1,0,2,"Orthodox",170.18,170.18,135,0,1,0,59.5,0.566666667,0.5,1.5,0.603333333,3,2,13,0,0,1,2,0,1,0,4,"Orthodox",154.94,157.48,115,23,26,-1,-1,-2,-2,0,-3,0,0,0,15.24,12.7,-3,-7.75,0.5,-0.5,0,NA,"13","Red","SUB","Rear Naked Choke",2,04:58:00,598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Sep","2015","R_Women's Bantamweight_rank","13"
"Sara McMann","Amanda Nunes",-260,220,38.46153846,220,2015-08-08,"Nashville, Tennessee, USA","USA","0",FALSE,"Women's Bantamweight","FEMALE",3,0,1,0,15.25,0.5825,0,1,0.3725,2,1,6,0,0,0,0,3,0,0,3,"Orthodox",172.72,175.26,145,1,0,0,23.25,0.58,0,2,0.5125,1,2,8,1,0,1,0,1,0,0,2,"Orthodox",167.64,167.64,135,34,27,1,1,1,1,1,-2,-1,2,0,5.08,7.62,7,-8,0,-1,0,"7","4","Red","SUB","Rear Naked Choke",1,02:53:00,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Aug","2015","R_Women's Bantamweight_rank","4"
"Ronda Rousey","Bethe Correia",-1700,1100,5.882352941,1100,2015-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil","Brazil","1",TRUE,"Women's Bantamweight","FEMALE",5,0,3,0,74.66666667,0.563333333,0,0.333333333,0.083333333,3,0,8,0,0,1,1,1,0,0,3,"Orthodox",165.1,162.56,135,0,5,0,15,0.52,1,1.6,0.55,5,0,7,5,0,0,0,2,3,0,5,"Orthodox",170.18,172.72,135,28,32,0,-2,-2,-2,0,1,-5,-1,-3,-5.08,-10.16,-4,59.66666667,-1,-1.266666667,0,"7","0","Red","KO/TKO","Punch",1,00:34:00,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Aug","2015","R_Women's Bantamweight_rank","0"
"Miesha Tate","Jessica Eye",-200,170,50,170,2015-07-25,"Chicago, Illinois, USA","USA","1",FALSE,"Women's Bantamweight","FEMALE",3,0,1,0,64,0.386666667,0,0,0,1,2,8,0,0,0,0,0,0,1,1,"Orthodox",167.64,167.64,125,0,3,0,30.4,0.468,1.4,1.2,0.228,3,2,15,1,1,0,2,0,0,0,3,"Orthodox",167.64,165.1,135,28,28,0,-2,-2,-2,0,-7,-1,1,0,0,2.54,0,33.6,-1.4,-1.2,0,"5","2","Red","U-DEC",NA,3,05:00:00,900,1,0,58,56,122,143,0.47,0.39,84,81,148,168,1,0,4,0,0.25,0,2,0,3,0,0,0,TRUE,"Saturday","Jul","2015","R_Women's Bantamweight_rank","2"
"Holly Holm","Marion Reneau",-255,215,39.21568627,215,2015-07-15,"San Diego, California, USA","USA","1",FALSE,"Women's Bantamweight","FEMALE",3,0,2,0,45.5,0.375,0.5,0,0,2,0,4,0,0,0,1,0,1,0,2,"Orthodox",167.64,172.72,135,0,1,0,44,0.2,0,0,0,1,0,3,0,0,1,0,0,0,0,1,"Southpaw",172.72,175.26,145,33,38,0,1,1,1,0,1,0,0,1,-5.08,-2.54,-5,1.5,0.5,0,0,"11","10","Red","U-DEC",NA,3,05:00:00,900,0,0,65,26,178,75,0.36,0.34,70,32,184,82,1,0,1,0,1,0,0,0,0,0,0,0,FALSE,"Wednesday","Jul","2015","R_Women's Bantamweight_rank","10"
"Jessica Andrade","Sarah Moras",-500,400,20,400,2015-07-15,"San Diego, California, USA","USA","1",FALSE,"Women's Bantamweight","FEMALE",3,0,1,0,15,0.44,0,1,0.5,1,0,3,0,0,0,1,0,0,0,1,"Orthodox",170.18,170.18,135,1,0,0,61.4,0.57,0.6,1.2,0.574,3,2,10,0,0,1,1,0,1,0,3,"Orthodox",154.94,157.48,115,23,27,1,1,-2,-2,2,-7,0,0,-1,15.24,12.7,-4,-46.4,-0.6,-0.2,0,NA,"13","Red","U-DEC",NA,3,05:00:00,900,0,0,50,18,90,56,0.55,0.32,158,23,206,61,3,0,4,8,0.75,0,0,1,7,1,0,0,FALSE,"Wednesday","Jul","2015","R_Women's Bantamweight_rank","13"
"Alexis Davis","Sarah Kaufman",178,-215,178,46.51162791,2015-04-25,"Montreal, Quebec, Canada","Canada","1",FALSE,"Women's Bantamweight","FEMALE",3,0,1,0,144.5,0.47,0,0.5,0.5,1,1,6,0,0,0,1,0,0,0,1,"Orthodox",165.1,170.18,135,1,0,0,37.25,0.42,0.75,0.75,0.415,3,1,10,1,0,1,2,0,0,0,3,"Orthodox",167.64,172.72,125,30,29,1,1,-2,-2,0,-4,-1,0,0,-2.54,-2.54,1,107.25,-0.75,-0.25,0,"5","3","Red","SUB","Armbar",2,03:07:00,487,0,0,34,65,99,130,0.34,0.5,40,76,106,141,1,0,3,0,0.33,0,1,0,1,0,0,0,TRUE,"Saturday","Apr","2015","R_Women's Bantamweight_rank","3"
"Julianna Pena","Milana Dudieva",-400,325,25,325,2015-04-04,"Fairfax, Virginia, USA","USA","1",FALSE,"Women's Bantamweight","FEMALE",3,0,1,0,11,0.3,0,2,0.4,1,0,3,0,0,1,0,0,0,0,1,"Orthodox",160.02,154.94,135,0,1,0,33,0.43,0,2,1,1,0,1,1,0,0,0,1,0,0,1,"Orthodox",167.64,175.26,135,25,25,0,0,0,0,0,2,-1,-1,0,-7.62,-20.32,0,-22,0,0,0,NA,"13","Red","KO/TKO","Elbows",1,03:59:00,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Apr","2015","R_Women's Bantamweight_rank","13"
"Liz Carmouche","Lauren Murphy",100,-120,100,83.33333333,2015-04-04,"Fairfax, Virginia, USA","USA","1",FALSE,"Women's Bantamweight","FEMALE",3,1,0,0,48,0.57,0,0,0,0,1,3,0,0,0,0,0,0,0,0,"Orthodox",170.18,170.18,125,2,0,0,28.75,0.57,0.5,2.25,0.6775,1,3,9,1,0,0,0,1,0,0,1,"Orthodox",167.64,167.64,125,31,31,1,0,-1,-1,2,-6,-1,-1,0,2.54,2.54,0,19.25,-0.5,-2.25,0,NA,"9","Red","U-DEC",NA,3,05:00:00,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Apr","2015","R_Women's Bantamweight_rank","9"
